env_id,obs_mode,num_runs,known_best_score,best_score_mean,best_score_std,best_score_max,best_hns_mean,best_hns_std,best_hns_max,steps_mean,episodes_mean
Phoenix-v5,native_obs,3,990638.12,9523.333333333334,6163.7236220395935,18240.0,1.3518998539365137,0.9510158029438364,2.6968154045547115,22217889.0,1689.6666666666667
Phoenix-v5,ram,3,990638.12,16046.666666666666,15838.190833832283,38440.0,2.3584007076878764,2.443712712743362,5.813522187249274,13622774.0,1696.0
Pitfall-v5,native_obs,3,18756.01,0.0,0.0,0.0,0.034274103180887784,0.0,0.034274103180887784,8634536.333333334,329.0
Pitfall-v5,ram,3,18756.01,0.0,0.0,0.0,0.034274103180887784,0.0,0.034274103180887784,13812939.0,2696.3333333333335
Pong-v5,native_obs,3,21.0,21.0,0.0,21.0,1.1813031161473089,0.0,1.1813031161473089,7298179.0,284.3333333333333
Pong-v5,ram,3,21.0,21.0,0.0,21.0,1.1813031161473089,0.0,1.1813031161473089,20380623.666666668,1979.3333333333333
PrivateEye-v5,native_obs,3,100314.44,16458.666666666668,13998.638441727904,34294.0,0.23629931479798616,0.201284875158569,0.4927516018082891,20069185.0,1850.6666666666667
PrivateEye-v5,ram,3,100314.44,12630.666666666666,14732.826416618851,33312.0,0.1812569258317708,0.21184168291412422,0.47863153232949507,15593582.0,1436.0
Qbert-v5,native_obs,3,777071.3,24750.0,6752.869760331529,29525.0,1.8498167946972035,0.5080745581879249,2.209079760140244,7500831.333333333,4309.0
Qbert-v5,ram,3,777071.3,13291.666666666666,9365.458107084542,23250.0,0.9877110748295225,0.7046413093787979,1.7369593186417978,13538772.666666666,1289.3333333333333
Riverraid-v5,native_obs,3,323417.18,3476.6666666666665,1381.553071325488,5290.0,0.1355028148335921,0.08755366591625134,0.25041984853765964,20006089.333333332,5983.0
Riverraid-v5,ram,3,323417.18,1986.6666666666667,777.4030843491396,3080.0,0.041076502212786636,0.04926664877525522,0.11036471371082734,13967519.0,4193.333333333333
RoadRunner-v5,native_obs,3,613659.42,5166.666666666667,3239.684483951416,8900.0,0.6580923810131699,0.41356794331415286,1.134677985574775,3090816.3333333335,874.0
RoadRunner-v5,ram,3,613659.42,6500.0,1687.2067646458352,8200.0,0.8283015254994576,0.21538351498638353,1.0453181847194741,14992520.666666666,4263.333333333333
Robotank-v5,native_obs,3,144.0,25.333333333333332,0.9428090415820634,26.0,2.384879725085911,0.09719680841052185,2.4536082474226806,14224584.333333334,479.3333333333333
Robotank-v5,ram,3,144.0,24.0,1.632993161855452,26.0,2.2474226804123716,0.16834981050056202,2.4536082474226806,14100853.0,709.6666666666666
Seaquest-v5,native_obs,3,999999.0,493.3333333333333,212.4983660067897,760.0,0.010120761613510441,0.005061135799219977,0.016472039689136696,27176825.666666668,6260.666666666667
Seaquest-v5,ram,3,999999.0,700.0,331.4614105241614,1060.0,0.015043002122120787,0.007894513460918478,0.023617227524216234,2738292.3333333335,360.0
Skiing-v5,native_obs,3,-3851.44,-3704.3333333333335,241.00530192416008,-3379.0,1.0495695284664974,0.01888578675392287,1.0750634736545153,20003702.333333332,6483.333333333333
Skiing-v5,ram,3,-3851.44,-5903.333333333333,879.1698104209196,-4660.0,0.8772503108380612,0.06889397630480831,0.974681064476695,14797277.0,5633.0
Solaris-v5,native_obs,3,67306.29,9341.666666666666,3334.0474235112824,12200.0,0.7308452956310562,0.30062463243086657,0.988575705114333,14900380.666666666,576.3333333333334
Solaris-v5,ram,3,67306.29,3985.0,1114.1139977578596,5560.0,0.2478449830484022,0.1004575126016969,0.38985969847796287,14423284.666666666,305.6666666666667
SpaceInvaders-v5,native_obs,3,74335.3,1356.6666666666667,650.9650954971054,2270.0,0.7948094079480942,0.4280693729842214,1.3954100085486947,7219013.333333333,1748.6666666666667
SpaceInvaders-v5,ram,3,74335.3,1736.6666666666667,531.4184373500374,2445.0,1.0446943293658622,0.3494564590978085,1.5104885907805616,20025800.0,5212.666666666667
StarGunner-v5,native_obs,3,998600.28,1933.3333333333333,1087.3004286866726,3400.0,0.13241532790875585,0.11342587405452459,0.2854162320050073,20031535.0,5112.333333333333
StarGunner-v5,ram,3,998600.28,1033.3333333333333,47.14045207910317,1100.0,0.038528409486056056,0.004917635309733273,0.04548299603588567,7757227.666666667,2333.6666666666665
Surround-v5,native_obs,3,10.0,4.0,7.788880963698615,10.0,0.8484848484848486,0.47205339173931,1.2121212121212122,7282070.333333333,566.6666666666666
Surround-v5,ram,3,10.0,9.666666666666666,0.4714045207910317,10.0,1.191919191919192,0.0285699709570322,1.2121212121212122,13693432.333333334,1710.3333333333333
Tennis-v5,native_obs,3,24.0,0.3333333333333333,0.4714045207910317,1.0,1.5569892473118283,0.030413194889743953,1.6,20185595.666666668,889.0
Tennis-v5,ram,3,24.0,2.0,1.4142135623730951,3.0,1.6645161290322583,0.09123958466923186,1.729032258064516,14282426.333333334,683.0
TimePilot-v5,native_obs,3,476763.9,7133.333333333333,4825.165512417395,12500.0,2.1462396661048238,2.904626482312422,5.376836022152661,7989634.666666667,1462.6666666666667
TimePilot-v5,ram,3,476763.9,7150.0,4799.131865938533,12400.0,2.1562725740428608,2.8889548916075927,5.316638574524441,15527707.0,1671.6666666666667
Tutankham-v5,native_obs,3,2354.91,79.66666666666667,55.77534301901593,124.0,0.4370465215535639,0.3570764597888344,0.7208706786171575,13967145.333333334,717.3333333333334
Tutankham-v5,ram,3,2354.91,109.0,14.7648230602334,126.0,0.6248399487836108,0.09452511562249298,0.7336747759282971,20060987.0,680.0
UpNDown-v5,native_obs,3,715545.61,4083.3333333333335,833.0399483551528,5010.0,0.3181000854256647,0.07464649441344405,0.4011362210792308,13472047.0,3565.6666666666665
UpNDown-v5,ram,3,715545.61,8586.666666666666,3482.377859387972,12860.0,0.7216318094111602,0.31204661906019565,1.1045538450509864,14663019.666666666,2111.0
Venture-v5,native_obs,3,2623.71,133.33333333333334,188.56180831641268,400.0,0.11228070175438597,0.1587888912138212,0.3368421052631579,13374838.333333334,516.6666666666666
Venture-v5,ram,3,2623.71,166.66666666666666,235.70226039551585,500.0,0.14035087719298245,0.1984861140172765,0.42105263157894735,14092237.666666666,437.6666666666667
VideoPinball-v5,native_obs,3,999697.05,103387.33333333333,61431.388835205595,186370.0,5.851704692313931,3.4770056902747686,10.548508877682123,13945911.0,687.6666666666666
VideoPinball-v5,ram,3,999697.05,100227.33333333333,54460.86497252459,163361.0,5.67284925392001,3.082475278472517,9.2462035669208,7754444.333333333,418.0
WizardOfWor-v5,native_obs,3,197126.0,4833.333333333333,4434.210439550904,11100.0,1.0183241911121712,1.0575269352613652,2.5128786072024805,13687211.0,1746.0
WizardOfWor-v5,ram,3,197126.0,5933.333333333333,4683.540920666281,12500.0,1.2806661896812148,1.1169904413704463,2.8467684235630815,7589435.333333333,596.3333333333334
YarsRevenge-v5,native_obs,3,999807.02,16179.666666666666,5486.337049637237,21469.0,0.25419094605443765,0.10656392373625274,0.35692836609432055,8193672.666666667,3737.0
YarsRevenge-v5,ram,3,999807.02,35176.47619047619,21581.35920023818,58861.0,0.6231756699261166,0.4191857509175313,1.0832122601196488,14054033.333333334,7558.0
Zaxxon-v5,native_obs,3,725853.9,0.0,0.0,0.0,-0.003555487484684054,0.0,-0.003555487484684054,29112273.666666668,3886.0
Zaxxon-v5,ram,3,725853.9,2333.3333333333335,3299.8316455372214,7000.0,0.2517102806464788,0.3610003113006763,0.7622418169088045,8544796.333333334,1513.3333333333333
